Parametro;periodo de referencia;region;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitacion;1981-2010;PONTEVEDRA;191.0;148.9;128.4;139.1;117.5;58.9;36.0;43.5;93.8;212.0;217.2;241.0;1627.3
Precipitacion;1981-2010;SALAMANCA;60.5;45.8;39.4;59.2;64.1;28.6;13.0;14.2;42.1;80.4;75.5;80.2;603.0
Precipitacion;1981-2010;SANTA CRUZ DE TENERIFE;56.7;60.3;49.1;24.3;9.4;3.7;1.4;2.9;9.7;40.7;67.5;87.0;412.7
Precipitacion;1981-2010;SEGOVIA;45.0;37.3;31.4;54.7;63.6;35.2;17.0;19.2;30.1;61.1;55.7;55.9;506.2
Precipitacion;1981-2010;SEVILLA;73.4;57.9;43.9;58.4;38.6;11.1;2.0;6.1;26.8;75.6;93.6;111.5;598.9
Precipitacion;1981-2010;SORIA;42.9;37.1;33.3;60.8;69.7;42.9;25.7;25.5;35.8;59.8;54.1;55.5;543.1
Precipitacion;1981-2010;TARRAGONA;36.4;29.3;32.6;49.2;58.5;30.7;14.1;32.6;61.8;78.1;52.9;43.6;519.8
Precipitacion;1981-2010;TERUEL;28.0;25.3;27.4;47.9;63.2;45.8;23.4;36.6;41.7;49.6;37.1;31.9;457.9
Precipitacion;1981-2010;TOLEDO;41.5;36.9;29.6;50.8;48.8;24.9;6.9;10.0;25.5;60.8;56.1;64.2;456.0
Precipitacion;1981-2010;VALENCIA;44.7;39.7;35.9;50.3;48.2;27.3;11.2;19.5;60.9;72.4;58.7;51.4;520.2
Precipitacion;1981-2010;VALLADOLID;37.1;27.3;22.9;44.1;51.9;29.4;14.5;16.6;29.5;53.2;48.4;51.5;426.4
Precipitacion;1981-2010;ZAMORA;60.4;45.0;40.2;56.4;60.1;30.4;15.2;17.3;39.5;78.7;73.1;85.1;601.4
Precipitacion;1981-2010;ZARAGOZA;25.7;25.1;23.3;47.8;53.1;33.7;20.2;21.9;36.6;44.9;37.5;31.4;401.2
