mes,precipitacion
Enero,32.3
Febrero,42.0
Marzo,21.3
Abril,45.2
Mayo,12.0
Junio,2.0
Julio,0.0
Agosto,10.0
Septiembre,23.2
Octubre,24.3
Noviembre,41.2
Diciembre,23.0
